ItemID,ItemNo,Status,ReasonCode,status_code_id,status_date,FromLocationCode,FromLocationName,ToLocationCode,ToLocationName,CustAccNum
1,CNSGN003413891,UA,,,2/1/2025 9:48,DBTED,Telok Blangah Delivery Base,DBTED,Telok Blangah Delivery Base,
2,CNSGN003413891,DB,46,,2/1/2025 11:30,DBTED,Telok Blangah Delivery Base,DBTED,Telok Blangah Delivery Base,
3,CNSGN003413891,HI,,,2/1/2025 12:07,DBTED,Telok Blangah Delivery Base,DBTED,Telok Blangah Delivery Base,
4,CNSGS003108898,CC,,,2/1/2025 13:24,,,,,
5,CNSGS003111175,CC,,,2/1/2025 13:18,,,,,
6,CNSGS003111533,CC,,,2/1/2025 12:36,,,,,
7,CNSGS003111859,UA,,,2/1/2025 8:46,DBBDD,Bedok Central Delivery Base,DBBDD,Bedok Central Delivery Base,
8,CNSGS003111859,FD,98,,2/1/2025 10:20,DBBDD,Bedok Central Delivery Base,DBBDD,Bedok Central Delivery Base,
9,CNSGS003111892,CC,,,2/1/2025 18:33,,,,,
10,CNSGS003112698,CC,,,2/1/2025 19:07,,,,,
11,CNSGS003112699,CC,,,2/1/2025 9:56,,,,,
12,CNSGS003113252,CC,,,2/1/2025 14:35,,,,,
13,CNSGS003113665,CC,,,2/1/2025 12:35,,,,,
14,CNSGS003113860,UA,,,2/1/2025 8:07,DBWDD,Woodlands Delivery Base,DBWDD,Woodlands Delivery Base,
15,CNSGS003113860,FD,98,,2/1/2025 9:33,DBWDD,Woodlands Delivery Base,DBWDD,Woodlands Delivery Base,
16,CNSGS003114010,CC,,,2/1/2025 21:34,,,,,
17,CNSGS003114821,CC,,,2/1/2025 16:01,,,,,
18,CNSGS003115263,CC,,,2/1/2025 17:20,,,,,
19,CNSGS003115920,CC,,,2/1/2025 17:23,,,,,
20,CNSGS003116150,CC,,,2/1/2025 20:47,,,,,
21,CNSGS003116319,CC,,,2/1/2025 11:47,,,,,
22,CNSGS003116416,CC,,,2/1/2025 13:38,,,,,
23,CNSGS003117058,CC,,,2/1/2025 22:08,,,,,
24,CNSGS003117244,CC,,,2/1/2025 16:03,,,,,
25,CNSGS003117342,CC,,,2/1/2025 23:46,,,,,
26,CNSGS003117903,CC,,,2/1/2025 13:02,,,,,
27,CNSGS003118015,CC,,,2/1/2025 18:31,,,,,
28,CNSGS0112073702,UA,,,2/1/2025 8:31,DBCHI,Changi Delivery Base,DBCHI,Changi Delivery Base,
29,CNSGS0112073702,FD,98,,2/1/2025 10:25,DBCHI,Changi Delivery Base,DBCHI,Changi Delivery Base,
30,CNSGS0112114575,UA,,,2/1/2025 11:10,DBJRD,Jurong Town Delivery Base,DBJRD,Jurong Town Delivery Base,
31,CNSGS0112114575,AS,,,2/1/2025 12:43,DBJRD,Jurong Town Delivery Base,DBJRD,Jurong Town Delivery Base,
